Year,district_c,Month,Unnamed: 0,Arrivals,Present,Rank
2010,4,78.0,7040583,1637302,8811217,1.0
2010,2,78.0,6556830,1182136,6382967,2.0
2010,5,78.0,3619091,888550,5050970,3.0
2010,3,78.0,3371868,556041,2493437,4.0
2010,6,78.0,4542618,444038,1985721,5.0
2010,7,78.0,3551583,434816,2081718,6.0
2010,8,78.0,1644166,297572,1199612,7.0
2010,1,78.0,261192,258727,574849,8.0
2011,4,78.0,21196307,1655255,8750053,1.0
2011,2,78.0,19577918,1217690,6545791,2.0
2011,5,78.0,10748284,912144,5077373,3.0
2011,3,78.0,10194180,566586,2519393,4.0
2011,7,78.0,10683014,467883,2156702,5.0
2011,6,78.0,13984293,460388,2041921,6.0
2011,8,78.0,4938669,308199,1202392,7.0
2011,1,78.0,824682,266413,588184,8.0
2012,4,78.0,35548153,1709440,8884416,1.0
2012,2,78.0,32695544,1241337,6594441,2.0
2012,5,78.0,18001391,959724,5225387,3.0
2012,3,78.0,17063185,593562,2608345,4.0
2012,7,78.0,17945843,481627,2207624,5.0
2012,6,78.0,23486880,473641,2095799,6.0
2012,8,78.0,8328115,320720,1226128,7.0
2012,1,78.0,1390896,265067,567444,8.0
2013,4,78.0,50009904,1702905,8771430,1.0
2013,2,78.0,46029405,1247736,6536994,2.0
2013,5,78.0,25423495,952755,5155996,3.0
2013,3,78.0,23940146,598551,2601347,4.0
2013,7,78.0,25188172,474054,2144883,5.0
2013,6,78.0,32820823,461926,2017145,6.0
2013,8,78.0,11623453,330583,1233881,7.0
2013,1,78.0,1958958,273099,563940,8.0
2014,4,78.0,64377323,1721560,8586555,1.0
2014,2,78.0,59373638,1253912,6270036,2.0
2014,5,78.0,32650166,977571,5148280,3.0
2014,3,78.0,30578416,611041,2571401,4.0
2014,7,78.0,32587287,478340,2110892,5.0
2014,6,78.0,42092373,465406,1965627,6.0
2014,8,78.0,15107888,349161,1221501,7.0
2014,1,78.0,2526714,285098,563597,8.0
2015,4,78.0,79002874,1855466,9019750,1.0
2015,2,78.0,72769044,1333646,6538738,2.0
2015,5,78.0,39965243,1017533,5266131,3.0
2015,3,78.0,37299070,639107,2632534,4.0
2015,7,78.0,39779099,504678,2176889,5.0
2015,6,78.0,50988389,483250,1993674,6.0
2015,8,78.0,18458025,369884,1260978,7.0
2015,1,78.0,3095400,292385,586551,8.0
2016,4,78.0,94137845,1996428,9526476,1.0
2016,2,78.0,86471159,1446012,7011633,2.0
2016,5,78.0,47346593,1101553,5587027,3.0
2016,3,78.0,44328724,694761,2816640,4.0
2016,7,78.0,47105304,539670,2293124,5.0
2016,6,78.0,59482760,524349,2148677,6.0
2016,8,78.0,21868842,384975,1330228,7.0
2016,1,78.0,3663186,314316,638790,8.0
2017,4,78.0,108293879,2100759,9900880,1.0
2017,2,78.0,99498502,1504926,7206337,2.0
2017,5,78.0,54486888,1131057,5700296,3.0
2017,3,78.0,51378145,731220,2947560,4.0
2017,7,78.0,54340434,560149,2384140,5.0
2017,6,78.0,70629467,551639,2263744,6.0
2017,8,78.0,25009725,401441,1372269,7.0
2017,1,78.0,4233318,321173,664877,8.0
2018,4,78.0,123486716,2178836,10271892,1.0
2018,2,78.0,114461674,1519114,7228816,2.0
2018,5,78.0,61815232,1177106,5918174,3.0
2018,3,78.0,58560668,752912,3031012,4.0
2018,7,78.0,61606773,570939,2415938,5.0
2018,6,78.0,81593299,560727,2309029,6.0
2018,8,78.0,28652834,422277,1460998,7.0
2018,1,78.0,4805196,337875,693411,8.0
2019,4,78.0,138556593,2247110,10431438,1.0
2019,2,78.0,129859680,1548993,7259540,2.0
2019,5,78.0,69554091,1203473,5950862,3.0
2019,3,78.0,65332980,774849,3068550,4.0
2019,7,78.0,69565945,590082,2492021,5.0
2019,6,78.0,91992480,567650,2308603,6.0
2019,8,78.0,32228682,428378,1453077,7.0
2019,1,78.0,5381622,343777,720463,8.0
2020,4,78.0,128644041,1519598,7547735,1.0
2020,2,78.0,114850939,807821,3923973,2.0
2020,5,78.0,64851488,792217,4131894,3.0
2020,3,78.0,60932263,454460,1956092,4.0
2020,7,78.0,64621885,373635,1630481,5.0
2020,6,78.0,81331888,280957,1267125,6.0
2020,8,78.0,31277832,251566,911089,7.0
2020,1,78.0,5751219,145395,355513,8.0
