,Year,district_c,Unnamed: 0,Arrivals,Present
0,2010,1,15,258727,574849
1,2010,2,51,1182136,6382967
2,2010,3,87,556041,2493437
3,2010,4,123,1637302,8811217
4,2010,5,159,888550,5050970
5,2010,6,195,444038,1985721
6,2010,7,231,434816,2081718
7,2010,8,267,297572,1199612
8,2011,1,303,266413,588184
9,2011,2,339,1217690,6545791
10,2011,3,375,566586,2519393
11,2011,4,411,1655255,8750053
12,2011,5,447,912144,5077373
13,2011,6,483,460388,2041921
14,2011,7,519,467883,2156702
15,2011,8,555,308199,1202392
16,2012,1,591,265067,567444
17,2012,2,627,1241337,6594441
18,2012,3,663,593562,2608345
19,2012,4,699,1709440,8884416
20,2012,5,735,959724,5225387
21,2012,6,771,473641,2095799
22,2012,7,807,481627,2207624
23,2012,8,843,320720,1226128
24,2013,1,879,273099,563940
25,2013,2,915,1247736,6536994
26,2013,3,951,598551,2601347
27,2013,4,987,1702905,8771430
28,2013,5,1023,952755,5155996
29,2013,6,1059,461926,2017145
30,2013,7,1095,474054,2144883
31,2013,8,1131,330583,1233881
32,2014,1,1167,285098,563597
33,2014,2,1203,1253912,6270036
34,2014,3,1239,611041,2571401
35,2014,4,1275,1721560,8586555
36,2014,5,1311,977571,5148280
37,2014,6,1347,465406,1965627
38,2014,7,1383,478340,2110892
39,2014,8,1419,349161,1221501
40,2015,1,1455,292385,586551
41,2015,2,1491,1333646,6538738
42,2015,3,1527,639107,2632534
43,2015,4,1563,1855466,9019750
44,2015,5,1599,1017533,5266131
45,2015,6,1635,483250,1993674
46,2015,7,1671,504678,2176889
47,2015,8,1707,369884,1260978
48,2016,1,1743,314316,638790
49,2016,2,1779,1446012,7011633
50,2016,3,1815,694761,2816640
51,2016,4,1851,1996428,9526476
52,2016,5,1887,1101553,5587027
53,2016,6,1923,524349,2148677
54,2016,7,1959,539670,2293124
55,2016,8,1995,384975,1330228
56,2017,1,2031,321173,664877
57,2017,2,2067,1504926,7206337
58,2017,3,2103,731220,2947560
59,2017,4,2139,2100759,9900880
60,2017,5,2175,1131057,5700296
61,2017,6,2211,551639,2263744
62,2017,7,2247,560149,2384140
63,2017,8,2283,401441,1372269
64,2018,1,2319,337875,693411
65,2018,2,2355,1519114,7228816
66,2018,3,2391,752912,3031012
67,2018,4,2427,2178836,10271892
68,2018,5,2463,1177106,5918174
69,2018,6,2499,560727,2309029
70,2018,7,2535,570939,2415938
71,2018,8,2571,422277,1460998
72,2019,1,2607,343777,720463
73,2019,2,2643,1548993,7259540
74,2019,3,2679,774849,3068550
75,2019,4,2715,2247110,10431438
76,2019,5,2751,1203473,5950862
77,2019,6,2787,567650,2308603
78,2019,7,2823,590082,2492021
79,2019,8,2859,428378,1453077
80,2020,1,2895,145395,355513
81,2020,2,2931,807821,3923973
82,2020,3,2967,454460,1956092
83,2020,4,3003,1519598,7547735
84,2020,5,3039,792217,4131894
85,2020,6,3075,280957,1267125
86,2020,7,3111,373635,1630481
87,2020,8,3147,251566,911089
